,precision,recall,f1-score,support
0,0.8936170212765957,0.84,0.8659793814432989,100.0
1,0.88,0.88,0.88,100.0
2,0.8269230769230769,0.86,0.8431372549019608,100.0
3,0.9897959183673469,0.97,0.9797979797979798,100.0
4,0.9591836734693877,0.94,0.9494949494949495,100.0
5,0.97,0.97,0.97,100.0
6,0.883495145631068,0.91,0.896551724137931,100.0
7,0.8349514563106796,0.86,0.8472906403940887,100.0
8,0.8137254901960784,0.83,0.8217821782178217,100.0
9,0.9339622641509434,0.99,0.9611650485436893,100.0
10,0.9148936170212766,0.86,0.8865979381443299,100.0
11,0.7830188679245284,0.83,0.8058252427184467,100.0
12,0.9696969696969697,0.96,0.964824120603015,100.0
13,0.6875,0.77,0.7264150943396227,100.0
14,0.9583333333333334,0.92,0.9387755102040817,100.0
15,0.8541666666666666,0.82,0.836734693877551,100.0
16,0.8888888888888888,0.96,0.923076923076923,100.0
17,0.9479166666666666,0.91,0.9285714285714285,100.0
18,0.9555555555555556,0.86,0.9052631578947369,100.0
19,0.9423076923076923,0.98,0.9607843137254902,100.0
20,0.978021978021978,0.89,0.9319371727748691,100.0
accuracy,0.8957142857142857,0.8957142857142857,0.8957142857142857,0.8957142857142857
macro avg,0.8983787753527969,0.8957142857142857,0.8963811787077246,2100.0
weighted avg,0.8983787753527969,0.8957142857142857,0.8963811787077245,2100.0
