,precision,recall,f1-score,support
0,0.7837837837837838,0.87,0.8246445497630331,100.0
1,0.9166666666666666,0.88,0.8979591836734694,100.0
2,0.88,0.88,0.88,100.0
3,0.9897959183673469,0.97,0.9797979797979798,100.0
4,0.9514563106796117,0.98,0.9655172413793104,100.0
5,1.0,0.97,0.9847715736040609,100.0
6,0.8867924528301887,0.94,0.912621359223301,100.0
7,0.8380952380952381,0.88,0.8585365853658538,100.0
8,0.845360824742268,0.82,0.83248730964467,100.0
9,0.9705882352941176,0.99,0.9801980198019802,100.0
10,0.9213483146067416,0.82,0.8677248677248677,100.0
11,0.7604166666666666,0.73,0.7448979591836735,100.0
12,0.97,0.97,0.97,100.0
13,0.7961165048543689,0.82,0.8078817733990147,100.0
14,0.95,0.95,0.9500000000000001,100.0
15,0.8627450980392157,0.88,0.8712871287128714,100.0
16,0.941747572815534,0.97,0.9556650246305418,100.0
17,0.9690721649484536,0.94,0.9543147208121826,100.0
18,0.9895833333333334,0.95,0.9693877551020408,100.0
19,0.9801980198019802,0.99,0.9850746268656716,100.0
20,0.9693877551020408,0.95,0.9595959595959594,100.0
accuracy,0.9119047619047619,0.9119047619047619,0.9119047619047619,0.9119047619047619
macro avg,0.9130073743155979,0.9119047619047619,0.9120173151562133,2100.0
weighted avg,0.913007374315598,0.9119047619047619,0.9120173151562133,2100.0
