,precision,recall,f1-score,support
0,0.9038461538461539,0.94,0.9215686274509804,100.0
1,0.9578947368421052,0.91,0.9333333333333333,100.0
2,0.9278350515463918,0.9,0.9137055837563451,100.0
3,1.0,0.99,0.9949748743718593,100.0
4,0.9607843137254902,0.98,0.9702970297029702,100.0
5,0.99,0.99,0.99,100.0
6,0.8952380952380953,0.94,0.9170731707317075,100.0
7,0.8796296296296297,0.95,0.9134615384615385,100.0
8,0.898989898989899,0.89,0.8944723618090452,100.0
9,0.9803921568627451,1.0,0.99009900990099,100.0
10,0.92,0.92,0.92,100.0
11,0.8709677419354839,0.81,0.8393782383419689,100.0
12,0.9702970297029703,0.98,0.9751243781094527,100.0
13,0.8777777777777778,0.79,0.831578947368421,100.0
14,0.9705882352941176,0.99,0.9801980198019802,100.0
15,0.8932038834951457,0.92,0.9064039408866995,100.0
16,0.9245283018867925,0.98,0.9514563106796116,100.0
17,0.9894736842105263,0.94,0.964102564102564,100.0
18,0.9795918367346939,0.96,0.9696969696969697,100.0
19,0.9611650485436893,0.99,0.9753694581280788,100.0
20,0.9591836734693877,0.94,0.9494949494949495,100.0
accuracy,0.9385714285714286,0.9385714285714286,0.9385714285714286,0.9385714285714286
macro avg,0.938637488082433,0.9385714285714286,0.938180443149022,2100.0
weighted avg,0.9386374880824331,0.9385714285714286,0.9381804431490222,2100.0
