,precision,recall,f1-score,support
0,0.7613636363636364,0.67,0.7127659574468085,100.0
1,0.671875,0.86,0.7543859649122807,100.0
2,0.6635514018691588,0.71,0.6859903381642511,100.0
3,0.8979591836734694,0.88,0.888888888888889,100.0
4,0.8932038834951457,0.92,0.9064039408866995,100.0
5,0.8598130841121495,0.92,0.888888888888889,100.0
6,0.7543859649122807,0.86,0.8037383177570094,100.0
7,0.7764705882352941,0.66,0.7135135135135134,100.0
8,0.7634408602150538,0.71,0.7357512953367875,100.0
9,0.8389830508474576,0.99,0.9082568807339448,100.0
10,0.7669902912621359,0.79,0.7783251231527093,100.0
11,0.6049382716049383,0.49,0.5414364640883979,100.0
12,0.9591836734693877,0.94,0.9494949494949495,100.0
13,0.7837837837837838,0.58,0.6666666666666666,100.0
14,0.8125,0.78,0.7959183673469388,100.0
15,0.7789473684210526,0.74,0.7589743589743589,100.0
16,0.811965811965812,0.95,0.8755760368663594,100.0
17,0.900990099009901,0.91,0.9054726368159204,100.0
18,0.9662921348314607,0.86,0.9100529100529101,100.0
19,0.8135593220338984,0.96,0.8807339449541285,100.0
20,0.9080459770114943,0.79,0.8449197860962566,100.0
accuracy,0.8080952380952381,0.8080952380952381,0.8080952380952381,0.8080952380952381
macro avg,0.8089639708151197,0.8080952380952381,0.8050550110018413,2100.0
weighted avg,0.8089639708151195,0.8080952380952381,0.8050550110018414,2100.0
