,precision,recall,f1-score,support
0,0.7640449438202247,0.68,0.7195767195767195,100.0
1,0.6466165413533834,0.86,0.7381974248927039,100.0
2,0.6330275229357798,0.69,0.6602870813397128,100.0
3,0.8969072164948454,0.87,0.883248730964467,100.0
4,0.8921568627450981,0.91,0.900990099009901,100.0
5,0.8846153846153846,0.92,0.9019607843137256,100.0
6,0.7798165137614679,0.85,0.8133971291866028,100.0
7,0.7816091954022989,0.68,0.7272727272727274,100.0
8,0.7582417582417582,0.69,0.7225130890052356,100.0
9,0.868421052631579,0.99,0.9252336448598131,100.0
10,0.7663551401869159,0.82,0.7922705314009661,100.0
11,0.5952380952380952,0.5,0.5434782608695652,100.0
12,0.9595959595959596,0.95,0.9547738693467336,100.0
13,0.76,0.57,0.6514285714285714,100.0
14,0.8191489361702128,0.77,0.7938144329896908,100.0
15,0.7916666666666666,0.76,0.7755102040816326,100.0
16,0.8245614035087719,0.94,0.8785046728971964,100.0
17,0.875,0.91,0.892156862745098,100.0
18,0.9662921348314607,0.86,0.9100529100529101,100.0
19,0.8260869565217391,0.95,0.8837209302325583,100.0
20,0.9318181818181818,0.82,0.8723404255319149,100.0
accuracy,0.809047619047619,0.809047619047619,0.809047619047619,0.809047619047619
macro avg,0.810534307930468,0.809047619047619,0.80670138580945,2100.0
weighted avg,0.8105343079304678,0.809047619047619,0.8067013858094496,2100.0
