,precision,recall,f1-score,support
0,0.8125,0.91,0.8584905660377358,100.0
1,0.8910891089108911,0.9,0.8955223880597015,100.0
2,0.84,0.84,0.8399999999999999,100.0
3,0.97,0.97,0.97,100.0
4,0.9423076923076923,0.98,0.9607843137254902,100.0
5,0.99,0.99,0.99,100.0
6,0.8785046728971962,0.94,0.9082125603864735,100.0
7,0.8130841121495327,0.87,0.8405797101449274,100.0
8,0.8315789473684211,0.79,0.8102564102564104,100.0
9,0.970873786407767,1.0,0.9852216748768473,100.0
10,0.9148936170212766,0.86,0.8865979381443299,100.0
11,0.8333333333333334,0.75,0.7894736842105262,100.0
12,0.9702970297029703,0.98,0.9751243781094527,100.0
13,0.7731958762886598,0.75,0.7614213197969544,100.0
14,0.97,0.97,0.97,100.0
15,0.8673469387755102,0.85,0.8585858585858585,100.0
16,0.9428571428571428,0.99,0.9658536585365853,100.0
17,0.96875,0.93,0.9489795918367346,100.0
18,0.9891304347826086,0.91,0.9479166666666667,100.0
19,0.9801980198019802,0.99,0.9850746268656716,100.0
20,0.9587628865979382,0.93,0.9441624365482233,100.0
accuracy,0.9095238095238095,0.9095238095238095,0.9095238095238095,0.9095238095238095
macro avg,0.9099382666287104,0.9095238095238094,0.9091551325137424,2100.0
weighted avg,0.9099382666287105,0.9095238095238095,0.9091551325137422,2100.0
