,precision,recall,f1-score,support
0,0.9175257731958762,0.89,0.9035532994923858,100.0
1,0.9574468085106383,0.9,0.9278350515463918,100.0
2,0.898989898989899,0.89,0.8944723618090452,100.0
3,1.0,0.98,0.98989898989899,100.0
4,0.9615384615384616,1.0,0.9803921568627451,100.0
5,1.0,0.99,0.9949748743718593,100.0
6,0.9292929292929293,0.92,0.9246231155778895,100.0
7,0.8584070796460177,0.97,0.9107981220657277,100.0
8,0.8969072164948454,0.87,0.883248730964467,100.0
9,0.9900990099009901,1.0,0.9950248756218906,100.0
10,0.9333333333333333,0.84,0.8842105263157894,100.0
11,0.8613861386138614,0.87,0.8656716417910448,100.0
12,0.9702970297029703,0.98,0.9751243781094527,100.0
13,0.7777777777777778,0.84,0.8076923076923077,100.0
14,0.9797979797979798,0.97,0.9748743718592964,100.0
15,0.8787878787878788,0.87,0.8743718592964824,100.0
16,0.9150943396226415,0.97,0.9417475728155339,100.0
17,0.9791666666666666,0.94,0.9591836734693877,100.0
18,0.9895833333333334,0.95,0.9693877551020408,100.0
19,0.9611650485436893,0.99,0.9753694581280788,100.0
20,0.94,0.94,0.94,100.0
accuracy,0.9319047619047619,0.9319047619047619,0.9319047619047619,0.9319047619047619
macro avg,0.933171271607133,0.9319047619047619,0.9320216725138479,2100.0
weighted avg,0.933171271607133,0.9319047619047619,0.932021672513848,2100.0
