,precision,recall,f1-score,support
0,0.8585858585858586,0.85,0.8542713567839195,100.0
1,0.8888888888888888,0.88,0.8844221105527638,100.0
2,0.8585858585858586,0.85,0.8542713567839195,100.0
3,0.9595959595959596,0.95,0.9547738693467336,100.0
4,0.95,0.95,0.9500000000000001,100.0
5,0.9603960396039604,0.97,0.9651741293532338,100.0
6,0.8571428571428571,0.9,0.8780487804878048,100.0
7,0.8316831683168316,0.84,0.835820895522388,100.0
8,0.7522935779816514,0.82,0.784688995215311,100.0
9,0.9514563106796117,0.98,0.9655172413793104,100.0
10,0.8947368421052632,0.85,0.8717948717948718,100.0
11,0.7087378640776699,0.73,0.7192118226600985,100.0
12,0.96,0.96,0.96,100.0
13,0.7169811320754716,0.76,0.7378640776699028,100.0
14,0.96875,0.93,0.9489795918367346,100.0
15,0.8631578947368421,0.82,0.8410256410256411,100.0
16,0.941747572815534,0.97,0.9556650246305418,100.0
17,0.9285714285714286,0.91,0.9191919191919193,100.0
18,0.945054945054945,0.86,0.9005235602094239,100.0
19,0.9423076923076923,0.98,0.9607843137254902,100.0
20,0.9468085106382979,0.89,0.9175257731958764,100.0
accuracy,0.888095238095238,0.888095238095238,0.888095238095238,0.888095238095238
macro avg,0.8897848762745058,0.8880952380952382,0.8885502538745659,2100.0
weighted avg,0.8897848762745058,0.888095238095238,0.8885502538745658,2100.0
