,precision,recall,f1-score,support
0,0.8673469387755102,0.85,0.8585858585858585,100.0
1,0.8686868686868687,0.86,0.864321608040201,100.0
2,0.83,0.83,0.83,100.0
3,0.9690721649484536,0.94,0.9543147208121826,100.0
4,0.9595959595959596,0.95,0.9547738693467336,100.0
5,0.9702970297029703,0.98,0.9751243781094527,100.0
6,0.8932038834951457,0.92,0.9064039408866995,100.0
7,0.84,0.84,0.8399999999999999,100.0
8,0.8,0.8,0.8000000000000002,100.0
9,0.9514563106796117,0.98,0.9655172413793104,100.0
10,0.9052631578947369,0.86,0.8820512820512821,100.0
11,0.6909090909090909,0.76,0.7238095238095238,100.0
12,0.96,0.96,0.96,100.0
13,0.7027027027027027,0.78,0.7393364928909952,100.0
14,0.968421052631579,0.92,0.9435897435897437,100.0
15,0.8673469387755102,0.85,0.8585858585858585,100.0
16,0.9238095238095239,0.97,0.9463414634146342,100.0
17,0.9578947368421052,0.91,0.9333333333333333,100.0
18,0.945054945054945,0.86,0.9005235602094239,100.0
19,0.9519230769230769,0.99,0.9705882352941176,100.0
20,0.9270833333333334,0.89,0.9081632653061226,100.0
accuracy,0.8904761904761904,0.8904761904761904,0.8904761904761904,0.8904761904761904
macro avg,0.8928603673695771,0.8904761904761904,0.8912078274116891,2100.0
weighted avg,0.8928603673695771,0.8904761904761904,0.8912078274116891,2100.0
